customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment,action_priority
a72a2d4e19868dba726c0e6f49198c7e,64,3,538.33,5,5,5,05/05/2005,Champions,1
821e75291b1ad362e614c0ea79fc95a6,86,3,537.44,5,5,5,05/05/2005,Champions,1
0e4d012fac3d20c033e0284fb6d2ea6a,57,2,532.48,5,5,5,05/05/2005,Champions,1
07f765655f560c8624267665ce23675a,183,2,530.77,4,5,5,04/05/2005,Champions,1
de34b16117594161a6a89c50b289d35a,273,5,530.38,3,5,5,03/05/2005,Champions,1
87b3f231705783eb2217e25851c0a45d,166,2,523.12,4,5,5,04/05/2005,Champions,1
8ec31beb5c890497f1872b5986d3cc26,144,2,519.94,4,5,5,04/05/2005,Champions,1
b7b162291adff744d6f3c6450557ffee,82,3,519.24,5,5,5,05/05/2005,Champions,1
1a27a558aac4c4bfe3642b8c9bffcf4f,76,2,518.49,5,5,5,05/05/2005,Champions,1
2b0d2a4ffe3906cd18019c2463cfeee9,106,2,517,5,5,5,05/05/2005,Champions,1
c7c19110042036e6266adc998cbf1289,74,3,515.55,5,5,5,05/05/2005,Champions,1
f8bc1d81f395f6239a2a5ab1b9edf1ab,58,3,515.1,5,5,5,05/05/2005,Champions,1
ad97668eed5826a5d800b15351bea269,107,2,514.67,5,5,5,05/05/2005,Champions,1
a029899dd8534557a81c369475ff80c8,169,3,511.29,4,5,5,04/05/2005,Champions,1
5ad84888519e10ff52d8af00641d41bc,75,2,507.94,5,5,5,05/05/2005,Champions,1
b896655e2083a1d76b7b85df8fc86e40,103,4,507.06,5,5,5,05/05/2005,Champions,1
3a4acf4c4c97cc25075d29f8d29f405b,150,2,506.23,4,5,5,04/05/2005,Champions,1
0dc81b520ef7db9cb44bb075e129dcf8,121,2,504.95,5,5,5,05/05/2005,Champions,1
25c88b7eff936d6a6fed64142b760035,92,2,504.76,5,5,5,05/05/2005,Champions,1
4d7b6c39aa3c7b53acb8058e4094a593,52,2,502.74,5,5,5,05/05/2005,Champions,1
3a43af6775cec872d9a3c80707eb3336,163,2,501.03,4,5,5,04/05/2005,Champions,1
55f21db4f9a353dcee5b774f750c65a1,136,2,499.35,4,5,5,04/05/2005,Champions,1
44dbd08cc06662e0ca8ac504aac75f18,178,2,498.5,4,5,5,04/05/2005,Champions,1
059e7585d8fcd2430a33375bdbcbb990,59,2,498.47,5,5,5,05/05/2005,Champions,1
6f1b9f60ea8ee748140353648c2d8d8f,118,2,496.76,5,5,5,05/05/2005,Champions,1
7fb211f99a01b4971fd1e07e3a256458,85,2,496.55,5,5,5,05/05/2005,Champions,1
032b3a42598667caf2e099999b9dc1b9,85,2,495.96,5,5,5,05/05/2005,Champions,1
012452d40dafae4df401bced74cdb490,156,2,495.33,4,5,5,04/05/2005,Champions,1
f25c82f041560f45f4a408157ff3a5de,84,2,495.25,5,5,5,05/05/2005,Champions,1
1f9756abd497b76eeccb492bfe91df35,172,2,493.85,4,5,5,04/05/2005,Champions,1
d60483078c0c81748581f80d355bbcba,100,2,491.34,5,5,5,05/05/2005,Champions,1
4e65032f1f574189fb793bac5a867bbc,125,5,490.41,5,5,5,05/05/2005,Champions,1
a8060584a077038962852f3184a4571e,75,2,488.76,5,5,5,05/05/2005,Champions,1
bb804ab3b59099c10245f17159faf55e,84,2,488.72,5,5,5,05/05/2005,Champions,1
d08c29302907086e8fe823369542f3ae,55,2,488.46,5,5,5,05/05/2005,Champions,1
29f8e372b3b1d42ad2e00a0b976bfc34,170,2,487.88,4,5,5,04/05/2005,Champions,1
ec441c1966bfa602976763f330fc5168,188,2,487.68,4,5,5,04/05/2005,Champions,1
dd9b235dbe7d48c82caca4da097a2240,154,2,486.71,4,5,5,04/05/2005,Champions,1
97e5501feb2532ef0e124d2dc4e86537,131,2,485.91,5,5,5,05/05/2005,Champions,1
f9b5d3c8bd2dc9c26ff00bde73171554,86,2,485.38,5,5,5,05/05/2005,Champions,1
bfe14bfa136397036c4fd0cade75c68c,77,2,484.54,5,5,5,05/05/2005,Champions,1
07ff81a9676efa0286ddd3f09e7c0063,128,2,484.32,5,5,5,05/05/2005,Champions,1
2ddc001b620bd90d0f4378cfde1db887,196,4,483.33,4,5,5,04/05/2005,Champions,1
aebdb8f05f5ebf99f858c1a75fb7035a,99,2,482.6,5,5,5,05/05/2005,Champions,1
25a1ad8a564d758f233c587cc657aa4b,156,2,482.52,4,5,5,04/05/2005,Champions,1
32fb60e2ce6a1f62eeccbc2d33046072,72,2,481.25,5,5,5,05/05/2005,Champions,1
26a6e3e036636ef1d5636f98b66094cc,120,3,480.52,5,5,5,05/05/2005,Champions,1
77c213e10acbd145d50fcb035d0e86d9,190,2,479.95,4,5,5,04/05/2005,Champions,1
6345e3b3ba5ee47685e29ec5febc8155,179,2,479.08,4,5,5,04/05/2005,Champions,1
0e78a1b66adee5bb3a6f014714f79cf4,195,2,477.44,4,5,5,04/05/2005,Champions,1
7a380cb5434e6b6b5b37d45bb99dbe8a,128,2,476.18,5,5,5,05/05/2005,Champions,1
494e887fef923d79982b3c0e1ab49cdd,80,2,475.64,5,5,5,05/05/2005,Champions,1
d0175fc564515a47e95bcfdf40e6bc07,127,2,474.61,5,5,5,05/05/2005,Champions,1
e9c905c9d93eadb270434d5f1de50fee,170,2,474.54,4,5,5,04/05/2005,Champions,1
8b51f29aa215ec74a25baf5bd24ed90c,131,2,473.05,5,5,5,05/05/2005,Champions,1
1506abf10c09a2872e24d79f33e4eb12,195,2,470.9,4,5,5,04/05/2005,Champions,1
c17526359e1068290ebf7dd22a856de7,198,2,470.25,4,5,5,04/05/2005,Champions,1
ddcbd9c87bce192fc14812129a7894da,200,2,470.2,4,5,5,04/05/2005,Champions,1
9eaed62db4e25ad2ac2fcdec58a8e6cc,202,2,470.02,4,5,5,04/05/2005,Champions,1
b52b8debdefe66d4c0d7f44d9b4ff088,71,2,469.12,5,5,5,05/05/2005,Champions,1
683459cab0129375a071efb00da7c191,53,2,467.58,5,5,5,05/05/2005,Champions,1
8fdb30046559b506b2ea1588cdfded0d,84,2,464.13,5,5,5,05/05/2005,Champions,1
b4b0901bb872cf9972b32a05733b3394,80,2,463.29,5,5,5,05/05/2005,Champions,1
01f2285f85a1c603eb7ef755ad311769,139,2,463.04,4,5,5,04/05/2005,Champions,1
b5d391e8447d5ae0f8b852be83249e07,64,2,460.37,5,5,5,05/05/2005,Champions,1
70aa9ef908248a2ec9e03b77ce1ff357,149,2,457.55,4,5,5,04/05/2005,Champions,1
0361e980b28826f4d286ac144d9b319a,108,2,456.92,5,5,5,05/05/2005,Champions,1
941590fb8aef66b3a8352fe7c691879e,128,2,455.61,5,5,5,05/05/2005,Champions,1
86b3fe2ecd895fa35d303e2a49b3130b,130,2,455.53,5,5,5,05/05/2005,Champions,1
291d020953194db1b8578ff8d9959c62,136,2,455.4,4,5,5,04/05/2005,Champions,1
954456f376f79dfa36460750500f7dc6,180,2,452.86,4,5,5,04/05/2005,Champions,1
74cb1ad7e6d5674325c1f99b5ea30d82,197,5,451.17,4,5,5,04/05/2005,Champions,1
e8001d7ab27230c1f2fb39aa63aea136,128,2,449.16,5,5,5,05/05/2005,Champions,1
10bf8afdd66da75c386fbacf04c85710,208,2,449,4,5,5,04/05/2005,Champions,1
549a24530925587e2faddb35f667e458,77,3,448.5,5,5,5,05/05/2005,Champions,1
f6dc4789e4669873c35f8f92fdbed89f,69,2,448.31,5,5,5,05/05/2005,Champions,1
6dcf48fcc0c4d96dd7af8a0897ae9de8,92,2,447.28,5,5,5,05/05/2005,Champions,1
2fa63db193ecb500d4058cae36026f8f,177,2,446.16,4,5,5,04/05/2005,Champions,1
a253d10c681ebc4ee987907d2fd156ce,156,2,445.87,4,5,5,04/05/2005,Champions,1
89e3027de49c3012858cfeb7f5a34f59,175,2,444.59,4,5,5,04/05/2005,Champions,1
7ab8841bae70453e6b6fd543de86b90e,167,2,444.07,4,5,5,04/05/2005,Champions,1
f8d1720cca57b3c6961eb25114347ade,167,2,443.12,4,5,5,04/05/2005,Champions,1
d3e6520dde5fda9917fb56ffc3066d66,207,2,442.77,4,5,5,04/05/2005,Champions,1
f96be73d5c1d3bfe8fcba7924798ba91,152,2,440.55,4,5,5,04/05/2005,Champions,1
151e9edb34867eaece4d6e7ae188f261,119,2,439.54,5,5,5,05/05/2005,Champions,1
9689908caf4de73724feed92175d867a,75,3,439.39,5,5,5,05/05/2005,Champions,1
7305430719d715992b00be82af4a6aa8,62,4,439.31,5,5,5,05/05/2005,Champions,1
9b352d0736779ff0e21fcbd59a7141b3,71,2,435.45,5,5,5,05/05/2005,Champions,1
ecc6d0f3eb9435df737e1f0d9a1c6d3f,173,2,435.14,4,5,5,04/05/2005,Champions,1
f257deaa49d5e0a8c5fde46dfc350e52,77,2,433.58,5,5,5,05/05/2005,Champions,1
124ef8d5acc80858c69d34e3e08b572d,90,2,432.74,5,5,5,05/05/2005,Champions,1
cdc8b0d152b868db7e28de59f642c94a,104,2,432.56,5,5,5,05/05/2005,Champions,1
cddc66766972c6d5da2fdd80fcefe1f0,210,2,431.05,4,5,5,04/05/2005,Champions,1
099fad9e8f7dfbd0412c300bcc697e0b,154,2,430.79,4,5,5,04/05/2005,Champions,1
d3359a56d96666ac0c21bb01e7a61c95,210,4,428.38,4,5,5,04/05/2005,Champions,1
a0abd26659c9914690cbd3320d39fd96,116,4,426.12,5,5,5,05/05/2005,Champions,1
cc2bef54fa72102dca9777ff483f75a5,104,2,425.97,5,5,5,05/05/2005,Champions,1
925751a747a151a7fa97f2f686d028c3,200,2,425.94,4,5,5,04/05/2005,Champions,1
0c1201c04330536234aaa49b396745d4,73,2,425.44,5,5,5,05/05/2005,Champions,1
1ca845c3b11ba93c4ac5182ab9c1197e,195,2,424.32,4,5,5,04/05/2005,Champions,1
935b9c5a3162185f88dac06d8d08d623,166,3,421.32,4,5,5,04/05/2005,Champions,1
408aee96c75632a92e5079eee61da399,118,2,419.4,5,5,5,05/05/2005,Champions,1
9cc5a07f169a1606fd347a56683e6ea6,56,4,419.25,5,5,5,05/05/2005,Champions,1
65571628698194dbda526c22f5ed2317,90,2,418.94,5,5,5,05/05/2005,Champions,1
eb4520b16c32518b6615f2d50f1be1bb,83,2,418.68,5,5,5,05/05/2005,Champions,1
24072811917876a84c81166f96aed0c1,133,2,418.63,4,5,5,04/05/2005,Champions,1
384d6654ad80e9f1426b7a4ef9e40997,211,2,417.53,4,5,5,04/05/2005,Champions,1
3fdc39171d444e1a1cd4da98ac2e4adb,189,2,414.94,4,5,5,04/05/2005,Champions,1
213b36024bb0b8261de0ffbd652ebc34,144,2,414.41,4,5,5,04/05/2005,Champions,1
26e025af2347c3968f6a578f853a9da2,156,2,413.12,4,5,5,04/05/2005,Champions,1
b2c913a0723c7737e11067861e061913,93,2,410.9,5,5,5,05/05/2005,Champions,1
ed4c785e11a78a73c48fa3af98008292,151,2,409.7,4,5,5,04/05/2005,Champions,1
ea09b32bf96ba057088e140c6bec60da,164,2,408.44,4,5,4,04/05/2004,Champions,1
a7f45c1961dbd98e7a14f3d38ea11c06,91,2,407.02,5,5,4,05/05/2004,Champions,1
08c07c761592a71b85136aa4fe76a6f4,194,3,405.03,4,5,4,04/05/2004,Champions,1
8f6ce2295bdbec03cd50e34b4bd7ba0a,78,3,405.02,5,5,4,05/05/2004,Champions,1
35b45b906d1450b3540dc96692f58583,111,2,404.14,5,5,4,05/05/2004,Champions,1
8cd6f80d3c3994e2060d46ec07ff0b0a,65,3,403.85,5,5,4,05/05/2004,Champions,1
5fe117882be55ee9ad0d6c6c56d11019,66,2,402.76,5,5,4,05/05/2004,Champions,1
61fe766e454d5e750b33250035b4311d,60,2,401.07,5,5,4,05/05/2004,Champions,1
c0118e2c0a037c31aeca71d0b81f66a1,202,3,400.48,4,5,4,04/05/2004,Champions,1
208fe9aa6033a77419f8f503b7698e03,72,2,398.68,5,5,4,05/05/2004,Champions,1
afed5a21e94b4e3e5fbe6c7e4bc92f4c,176,2,397.29,4,5,4,04/05/2004,Champions,1
a6e56ce065f297714559452de03a2ca6,95,2,395.99,5,5,4,05/05/2004,Champions,1
819c65629034acc8a0e1c096c2c6715d,78,2,395.29,5,5,4,05/05/2004,Champions,1
9c08d6f85c7fcec4b08ead25590c0af7,139,3,393.08,4,5,4,04/05/2004,Champions,1
3fe3e628c6c7a15ae96416826a4c5952,60,2,390.93,5,5,4,05/05/2004,Champions,1
f4d1502ace38b0df6f052a5544add9f4,189,3,390.47,4,5,4,04/05/2004,Champions,1
b64d39d1e77c4d9a7e7d002ad7552178,96,2,387.49,5,5,4,05/05/2004,Champions,1
9263a6fc47a37b8b71cecfeb1defda4a,88,2,387.17,5,5,4,05/05/2004,Champions,1
0ee57f62666561b72f2ceacad0230cbf,119,2,386.41,5,5,4,05/05/2004,Champions,1
1772c0fbee58b154da028487de51b74c,91,2,386.29,5,5,4,05/05/2004,Champions,1
323ff9fd6b4a3edcdf3039e1fb213eb6,104,2,384.86,5,5,4,05/05/2004,Champions,1
0807baeeeaa1309effbd9a9dee41ab17,162,2,384.44,4,5,4,04/05/2004,Champions,1
24391449252cf6db04ce271b2a208d83,183,2,384.12,4,5,4,04/05/2004,Champions,1
7d0b1773dc928e29e86a230ca9557d08,177,2,382.02,4,5,4,04/05/2004,Champions,1
89be58cbdd6ef318e3ed93fdb22be178,205,2,382,4,5,4,04/05/2004,Champions,1
51d8d985d769925b981b4a34ddf6dfc6,167,2,381.33,4,5,4,04/05/2004,Champions,1
98e3117841a2431959d17808f04bf23c,87,3,378.31,5,5,4,05/05/2004,Champions,1
